iter	Logloss
0	0.6841055205
1	0.6753476569
2	0.6668409165
3	0.6583739659
4	0.6502991056
5	0.6424603589
6	0.6345653794
7	0.6270401426
8	0.61961994
9	0.612245093
10	0.605157943
11	0.5982676136
12	0.5913898281
13	0.5849196941
14	0.578474857
15	0.5720869394
16	0.5658033654
17	0.5597927475
18	0.5539778678
19	0.5481657023
20	0.5424491693
21	0.5368760691
22	0.531458052
23	0.5260964109
24	0.5207984332
25	0.5157531609
26	0.5108171268
27	0.5058447368
28	0.5010663845
29	0.4964926329
30	0.4919945806
31	0.4877122779
32	0.4833369528
33	0.4792421899
34	0.4752703065
35	0.4713107685
36	0.4674261344
37	0.4635743459
38	0.4599699335
39	0.4562518212
40	0.4526380689
41	0.4491696856
42	0.4458172087
43	0.4426051513
44	0.439288242
45	0.4360930984
46	0.4331126458
47	0.430111452
48	0.4273226778
49	0.4245018549
50	0.4217688819
51	0.4189603773
52	0.4162044224
53	0.4136153383
54	0.4110115568
55	0.4084530957
56	0.4060079229
57	0.4036233303
58	0.4012080654
59	0.3988195555
60	0.3966360501
61	0.3943557
62	0.3921940477
63	0.390110568
64	0.3879346326
65	0.3858372713
66	0.3839421227
67	0.3820417668
68	0.380143713
69	0.378221231
70	0.3762888528
71	0.3745409072
72	0.3727885187
73	0.3710178702
74	0.3692746237
75	0.3675666894
76	0.3658988348
77	0.3643196445
78	0.3627422574
79	0.3611681978
80	0.3596882885
81	0.3582163714
82	0.3567285714
83	0.3552761825
84	0.3539038472
85	0.3526119604
86	0.3513493756
87	0.3500028232
88	0.3488377214
89	0.3476163977
90	0.3464298761
91	0.3452689628
92	0.3440651179
93	0.3429116911
94	0.34181312
95	0.3407122993
96	0.3396596702
97	0.3386008603
98	0.3374961143
99	0.3364202054
100	0.3354036343
101	0.3344290258
102	0.3334274454
103	0.3324888628
104	0.3315501297
105	0.3305830696
106	0.3297194253
107	0.3288054974
108	0.3279259677
109	0.3270484997
110	0.3262296466
111	0.3254208237
112	0.324594889
113	0.3237910389
114	0.3229878659
115	0.3222325665
116	0.3214716274
117	0.3207124372
118	0.320062505
119	0.3193933908
120	0.3187469032
121	0.318078166
122	0.3174114019
123	0.3167063857
124	0.3160204584
125	0.3154001777
126	0.314788811
127	0.3141696845
128	0.313542016
129	0.3129345238
130	0.312357578
131	0.3117620998
132	0.3111920118
133	0.310680157
134	0.3101491197
135	0.3096058063
136	0.3090739089
137	0.3085291357
138	0.3079961505
139	0.3074833718
140	0.3069773156
141	0.3064798129
142	0.305961312
143	0.3054808775
144	0.3049942213
145	0.3045322841
146	0.3040496239
147	0.303582262
148	0.3031215636
149	0.3026947617
150	0.3022361632
151	0.3018151238
152	0.3013773792
153	0.3009783712
154	0.3005778164
155	0.3001610626
156	0.2997504124
157	0.2993534513
158	0.2989506079
159	0.298567453
